LEV,PRES,HGHT,TEMP,DEWP,RH,DD,WETB,DIR,SPD,THETA,THE-V,THE-W,THE-E,W
,mb,m,C,C,%,C,C,deg,knt,K,K,K,K,g/kg
0,1000,81,,,,,,,,,,,,
1,972,317,11.8,11.5,98,0.3,11.6,125,6,287.3,288.8,285.9,311.8,8.79
2,968,352,11.8,10.9,94,0.9,11.3,131,8,287.6,289.1,285.8,311.3,8.48
3,945,555,10.4,10,97,0.4,10.2,166,17,288.2,289.6,285.7,311.1,8.18
4,925,735,10.8,10.3,97,0.5,10.5,185,19,290.4,291.9,286.9,314.5,8.53
5,912,853,10.6,9.8,95,0.8,10.2,195,18,291.3,292.8,287.1,315.1,8.36
6,850,1437,6.6,5.2,91,1.4,5.8,195,15,293.1,294.2,286,311.9,6.53
7,846,1476,6.2,4.9,91,1.3,5.5,180,15,293,294.2,285.9,311.6,6.43
8,840,1534,6.2,5.3,94,0.9,5.7,161,15,293.6,294.8,286.4,312.9,6.66
9,833,1603,6.6,4.1,84,2.5,5.3,170,16,294.8,295.9,286.3,312.7,6.17
10,799,1945,6.4,5.1,91,1.3,5.7,207,25,298.1,299.3,288.2,318.4,6.91
11,722,2772,2.6,1.7,94,0.9,2.1,220,47,302.7,303.8,289,320.7,6
12,700,3022,1,0.1,94,0.9,0.5,220,52,303.6,304.6,288.8,320.3,5.51
13,685,3196,0,-0.6,96,0.6,-0.3,220,53,304.4,305.4,288.9,320.6,5.35
14,678,3278,-0.3,-2.2,87,1.9,-1.2,220,54,304.9,305.8,288.6,319.6,4.8
15,643,3700,-3.7,-4.4,95,0.7,-4,215,58,305.7,306.5,288.4,319,4.29
16,621,3974,-5.7,-7.8,85,2.1,-6.5,213,57,306.5,307.1,287.8,317.2,3.42
17,596,4295,-8.1,-9.7,88,1.6,-8.7,210,55,307.3,307.9,287.8,317,3.07
18,543,5013,-12.5,-13.7,91,1.2,-12.9,215,61,310.4,310.9,288.2,318.2,2.44
19,511,5475,-14.9,-17.4,81,2.5,-15.7,212,72,312.9,313.3,288.5,319.2,1.91
20,500,5640,-15.7,-20.2,68,4.5,-16.9,210,78,313.9,314.2,288.4,319,1.54
21,494,5731,-16.1,-22.1,60,6,-17.7,209,82,314.5,314.7,288.4,318.9,1.32
22,489,5807,-16.7,-21.7,65,5,-18,208,85,314.7,314.9,288.5,319.3,1.38
23,476,6009,-16.7,-20.7,71,4,-17.8,206,94,317.1,317.4,289.5,322.3,1.54
24,468,6136,-16.9,-29.9,31,13,-19.6,206,98,318.4,318.5,289,320.8,0.68
25,449,6444,-19.5,-45.5,8,26,-22.7,211,97,318.9,319,288.6,319.5,0.15
26,431,6746,-21.9,-44.9,11,23,-24.6,216,97,319.6,319.7,288.8,320.2,0.16
27,400,7290,-25.3,-44.3,15,19,-27.5,215,98,322.1,322.1,289.6,322.8,0.19
28,363,7990,-30.1,-49.1,14,19,-31.7,220,101,324.8,324.8,290.3,325.2,0.12
29,349,8269,-32.5,-49.5,17,17,-33.8,220,102,325.2,325.2,290.5,325.7,0.12
30,333,8599,-35.1,-55.1,11,20,-36.3,220,103,326,326,290.6,326.3,0.07
31,310,9095,-39.1,-54.1,19,15,-39.9,220,104,327.2,327.2,291,327.5,0.08
32,305,9207,-39.7,-52.7,24,13,-40.4,220,104,327.9,327.9,291.2,328.2,0.09
33,300,9320,-40.5,-56.5,16,16,-41.2,220,104,328.3,328.3,291.3,328.5,0.06
34,294,9457,-40.9,-58.9,13,18,-41.6,220,103,329.6,329.6,291.6,329.8,0.05
35,251,10514,-48.5,-68.5,8,20,-48.9,220,106,333.6,333.6,292.7,333.6,0.02
36,250,10540,-48.9,-66.9,11,18,-49.3,220,106,333.4,333.4,292.6,333.4,0.02
37,244,10699,-50.1,-57.1,43,7,-50.3,220,110,333.9,333.9,292.9,334.2,0.07
38,240,10807,-49.9,-54.7,57,4.8,-50.1,220,113,335.8,335.8,293.3,336.2,0.09
39,235,10945,-50.3,-54.6,60,4.3,-50.5,220,116,337.2,337.2,293.7,337.6,0.1
40,210,11671,-55.7,-61.7,47,6,-55.8,220,134,339.8,339.8,294.3,340,0.05
41,201,11949,-57.7,-62.6,53,4.9,-57.8,220,141,340.9,340.9,294.6,341.1,0.04
42,200,11980,-57.7,-62.4,55,4.7,-57.8,220,142,341.4,341.4,294.7,341.6,0.04
43,199,12012,-57.9,-62.3,57,4.4,-58,220,142,341.6,341.6,294.7,341.7,0.04
44,197,12075,-58.2,-63.6,49,5.5,-58.3,220,143,342.1,342.1,294.8,342.3,0.04
45,196,12107,-58.3,-64.3,46,6,-58.4,220,143,342.4,342.4,294.9,342.6,0.03
46,190,12302,-58.1,-69.1,23,11,-58.3,222,136,345.8,345.8,295.7,345.9,0.02
47,181,12606,-59.7,-84.7,2,25,-59.9,227,118,348,348,296.2,348,0
48,168,13067,-63.1,-91.1,1,28,-63.2,235,89,349.9,349.9,296.6,349.9,0
49,167,13103,-62.7,-89.7,1,27,-62.9,236,87,351.1,351.1,296.9,351.1,0
50,166,13141,-59.5,-90.5,1,31,-59.7,237,84,357.1,357.1,298.1,357.1,0
51,158,13452,-55.9,-87.9,1,32,-56.2,243,64,368.3,368.3,300.2,368.3,0
52,150,13780,-57.9,-89.9,1,32,-58.2,250,43,370.3,370.3,300.6,370.3,0
53,145,13994,-57.1,-89.1,1,32,-57.4,232,24,375.3,375.3,301.5,375.3,0
54,138,14306,-58.1,-89.1,1,31,-58.4,216,21,378.9,378.9,302.1,378.9,0
55,136,14398,-56.7,-88.7,1,32,-57.1,214,22,383,383,302.7,383,0
56,132,14588,-56.1,-88.1,1,32,-56.5,211,26,387.3,387.3,303.4,387.3,0
57,123,15035,-57.5,-89.5,1,32,-57.8,243,28,392.7,392.7,304.2,392.7,0
58,117,15351,-56.9,-88.9,1,32,-57.3,262,26,399.4,399.4,305.1,399.4,0
59,108,15853,-60.5,-91.5,1,31,-60.7,270,12,401.9,401.9,305.5,401.9,0
60,100,16330,-62.3,-92.3,1,30,-62.5,225,15,407.4,407.4,306.2,407.4,0
61,89,17045,-64.7,-94.7,1,30,-64.9,245,11,416.4,416.4,307.3,416.4,0
62,85,17328,-61.3,-91.3,1,30,-61.6,253,10,428.8,428.8,308.7,428.8,0
63,77,17940,-62.1,-91.1,1,29,-62.4,270,7,439.4,439.4,309.8,439.4,0
64,70,18530,-60.9,-90.9,1,30,-61.3,230,2,454.1,454.1,311.3,454.1,0
65,68,18710,-60.5,-90.5,1,30,-60.9,215,3,458.7,458.7,311.7,458.7,0
66,58,19696,-61.9,-91.9,1,30,-62.3,134,12,476.9,476.9,313.2,476.9,0
67,53,20256,-59.7,-90.7,1,31,-60.3,100,15,494.5,494.5,314.5,494.5,0
68,50,20620,-59.7,-90.7,1,31,-60.3,100,12,502.8,502.8,315.1,502.8,0
69,37,22512,-58.9,-89.9,1,31,-59.7,86,11,550.1,550.1,318.1,550.1,0
70,30,23840,-55.9,-86.9,1,31,-57.3,80,18,592.2,592.2,320.3,592.3,0.01
71,29,24055,-55.3,-87.3,1,32,-56.9,71,18,599.7,599.7,320.6,599.7,0.01
72,22,25804,-57.3,-85.3,2,28,-58.9,72,15,643,643,322.4,643.1,0.01
73,20,26410,-53.7,-81.7,2,28,-56.2,65,18,671.8,671.8,323.5,672,0.03
74,17,27456,-54.3,-80.3,3,26,-56.9,79,21,701.8,701.9,324.5,702.1,0.04
75,13,29210,-46.7,-74.7,3,28,-52.5,93,5,784.1,784.2,326.8,785.3,0.12
76,12,29741,-47.7,-75.7,3,28,-53.4,95,12,798.7,798.8,327.3,799.8,0.11
77,11,30320,-44.7,-74.7,2,30,-52,100,17,829.8,829.8,328,831.2,0.14
78,10,30960,-43.9,-75.9,2,32,-52,100,11,855.7,855.7,328.5,857,0.13
79,9.3,31447,-44.5,-77.5,1,33,-52.7,,,871.3,871.4,328.9,872.5,0.11
80,8.4,32133,-41.7,-77.7,1,36,-51.8,,,908.1,908.1,329.6,909.3,0.11
