time,lasttime,lat,lng,speed,course,altitude,comment,unix_time,unix_lasttime
4/5/2014 18:35,4/5/2014 18:35,40.41748,-86.93092,22,162,659,MT-AIO,1396722910,1396722910
4/5/2014 18:37,4/5/2014 18:37,40.41521,-86.92954,9,211,1315,MT-AIO,1396723029,1396723029
4/5/2014 18:39,4/5/2014 18:39,40.41313,-86.92982,13,173,1738,MT-AIO,1396723149,1396723149
4/5/2014 18:41,4/5/2014 18:41,40.40849,-86.927,9,158,2168,MT-AIO,1396723269,1396723269
4/5/2014 18:43,4/5/2014 18:43,40.40516,-86.92256,19,118,2638,MT-AIO,1396723388,1396723388
4/5/2014 18:45,4/5/2014 18:45,40.40013,-86.91451,28,119,3011,MT-AIO,1396723507,1396723507
4/5/2014 18:47,4/5/2014 18:47,40.39566,-86.90289,31,114,3363,MT-AIO,1396723626,1396723626
4/5/2014 18:49,4/5/2014 18:49,40.39207,-86.89011,33,98,3662,MT-AIO,1396723746,1396723746
4/5/2014 18:51,4/5/2014 18:51,40.38832,-86.87458,44,111,4003,MT-AIO,1396723865,1396723865
4/5/2014 18:53,4/5/2014 18:53,40.385,-86.85664,46,100,4324,MT-AIO,1396723984,1396723984
4/5/2014 18:55,4/5/2014 18:55,40.38165,-86.83631,57,95,4714,MT-AIO,1396724104,1396724104
4/5/2014 18:57,4/5/2014 18:57,40.3789,-86.81289,59,93,5091,MT-AIO,1396724223,1396724223
4/5/2014 18:59,4/5/2014 18:59,40.37633,-86.78916,63,101,5422,MT-AIO,1396724342,1396724342
4/5/2014 19:01,4/5/2014 19:01,40.37385,-86.7642,63,98,5753,MT-AIO,1396724462,1396724462
4/5/2014 19:03,4/5/2014 19:03,40.37131,-86.73675,74,94,6139,MT-AIO,1396724581,1396724581
4/5/2014 19:05,4/5/2014 19:05,40.36938,-86.7051,83,92,6445,MT-AIO,1396724701,1396724701
4/5/2014 19:07,4/5/2014 19:07,40.36713,-86.67114,96,94,6793,MT-AIO,1396724820,1396724820
4/5/2014 19:08,4/5/2014 19:08,40.36562,-86.63445,94,96,7160,MT-AIO,1396724939,1396724939
4/5/2014 19:10,4/5/2014 19:10,40.3641,-86.59804,94,87,7557,MT-AIO,1396725059,1396725059
4/5/2014 19:12,4/5/2014 19:12,40.36275,-86.56042,96,93,7932,MT-AIO,1396725178,1396725178
4/5/2014 19:14,4/5/2014 19:14,40.36195,-86.52008,109,91,8285,MT-AIO,1396725297,1396725297
4/5/2014 19:16,4/5/2014 19:16,40.36073,-86.47746,111,91,8668,MT-AIO,1396725417,1396725417
4/5/2014 19:18,4/5/2014 19:18,40.35871,-86.43438,113,95,9041,MT-AIO,1396725536,1396725536
4/5/2014 19:20,4/5/2014 19:20,40.35597,-86.39034,117,94,9405,MT-AIO,1396725657,1396725657
4/5/2014 19:22,4/5/2014 19:22,40.35238,-86.34613,119,96,9774,MT-AIO,1396725775,1396725775
4/5/2014 19:24,4/5/2014 19:24,40.34977,-86.29273,146,94,10270,MT-AIO,1396725896,1396725896
4/5/2014 19:26,4/5/2014 19:26,40.3489,-86.23375,156,92,10630,MT-AIO,1396726014,1396726014
4/5/2014 19:30,4/5/2014 19:30,40.34929,-86.11442,154,86,11374,MT-AIO,1396726253,1396726253
4/5/2014 20:26,4/5/2014 20:26,40.42353,-85.24295,0,0,22872,MT-AIO,1396729599,1396729599
4/5/2014 20:28,4/5/2014 20:28,40.42094,-85.23906,13,123,23305,MT-AIO,1396729718,1396729718
4/5/2014 20:30,4/5/2014 20:30,40.41996,-85.23738,11,64,23733,MT-AIO,1396729837,1396729837
4/5/2014 20:32,4/5/2014 20:32,40.42075,-85.23907,11,310,24153,MT-AIO,1396729957,1396729957
4/5/2014 20:34,4/5/2014 20:34,40.42304,-85.23889,11,359,24546,MT-AIO,1396730075,1396730075
4/5/2014 20:36,4/5/2014 20:36,40.42729,-85.2419,15,356,24967,MT-AIO,1396730195,1396730195
4/5/2014 20:42,4/5/2014 20:42,40.4361,-85.20637,91,79,16296,MT-AIO,1396730553,1396730553
