PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
hPa,m,C,C,%,g/kg,deg,knot,K,K,K
991,178,9.4,3.4,66,4.95,0,0,283.3,297.3,284.1
984,237,9.2,2.2,62,4.58,0,0,283.6,296.7,284.4
967,381,8.8,1.8,61,4.53,0,0,284.7,297.6,285.4
959,450,11.6,2.6,54,4.84,0,0,288.2,302.2,289
951,521,13.2,4.2,54,5.46,0,0,290.5,306.4,291.4
940.9,610,12.6,3.6,54,5.29,0,0,290.8,306.2,291.7
925,753,11.6,2.6,54,5.01,0,0,291.2,305.9,292.1
914,853,13.8,4.8,55,5.93,0,0,294.4,311.9,295.5
907.5,914,14.2,5.2,55,6.13,0,0,295.4,313.6,296.5
907,918,14.2,5.2,55,6.15,0,0,295.5,313.7,296.6
893,1050,13.6,5.6,58,6.42,0,0,296.2,315.2,297.3
878,1193,14.6,8.6,67,8.05,0,0,298.6,322.5,300.1
875.3,1219,14.6,8.6,67,8.07,0,0,298.9,322.9,300.4
863,1339,14.6,8.6,67,8.19,0,0,300.1,324.5,301.6
850,1467,13.8,7.8,67,7.87,0,0,300.6,324.1,302
845,1517,13.6,7.6,67,7.81,0,0,300.9,324.3,302.3
837,1597,14.2,10.2,77,9.42,0,0,302.3,330.5,304.1
831,1658,13.8,9.2,74,8.86,0,0,302.5,329.1,304.1
814.2,1829,12.7,6.5,66,7.5,0,0,303.1,325.8,304.5
785.2,2134,10.6,1.6,54,5.51,0,0,304.1,321.1,305.1
785,2136,10.6,1.6,54,5.5,0,0,304.1,321,305.1
772,2275,9.6,3.6,66,6.46,0,0,304.4,324.2,305.6
758,2427,9,1,57,5.46,0,0,305.4,322.3,306.4
757,2438,8.9,1,58,5.47,0,0,305.4,322.4,306.4
739,2637,7.2,1.2,66,5.68,0,0,305.6,323.2,306.7
729.5,2743,6.5,0,63,5.29,0,0,306,322.4,307
718,2873,5.6,-1.4,61,4.83,0,0,306.4,321.5,307.3
702.8,3048,4.9,-4.6,50,3.89,0,0,307.6,319.9,308.3
700,3081,4.8,-5.2,48,3.73,0,0,307.8,319.6,308.5
691,3186,5,-8,38,3.04,0,0,309.1,319,309.7
677,3353,4.1,-9.7,36,2.72,0,0,309.9,318.8,310.4
673,3401,3.8,-10.2,35,2.63,0,0,310.1,318.7,310.6
660,3559,3.8,-15.2,24,1.79,0,0,311.9,317.9,312.2
651.9,3658,3.1,-15.7,24,1.74,0,0,312.1,318,312.5
627.6,3962,0.8,-17,25,1.61,0,0,312.9,318.4,313.3
604.1,4267,-1.5,-18.4,26,1.49,0,0,313.8,318.9,314
580,4593,-3.9,-19.9,28,1.37,0,0,314.6,319.3,314.9
559.3,4877,-6.5,-20.5,32,1.34,0,0,314.8,319.4,315
540,5151,-9.1,-21.1,37,1.32,0,0,314.9,319.5,315.1
516.9,5486,-12.1,-23.5,38,1.12,0,0,315.3,319.2,315.5
500,5740,-14.3,-25.3,39,0.98,0,0,315.5,319,315.7
476.8,6096,-17,-29.4,33,0.7,0,0,316.6,319.1,316.7
457.8,6401,-19.2,-33,29,0.52,0,0,317.4,319.4,317.5
454,6463,-19.7,-33.7,28,0.49,0,0,317.6,319.4,317.7
431,6847,-21.9,-43.9,12,0.18,0,0,319.6,320.3,319.6
400,7390,-26.7,-39.7,28,0.3,0,0,320.2,321.4,320.3
387.4,7620,-28.7,-40.4,32,0.29,0,0,320.6,321.7,320.6
381,7740,-29.7,-40.7,34,0.29,0,0,320.7,321.9,320.8
337,8604,-36.9,-45.9,39,0.19,0,0,322.4,323.1,322.4
311.4,9144,-40.8,-49.8,37,0.13,0,0,324.2,324.7,324.2
300,9400,-42.7,-51.7,37,0.11,0,0,325.1,325.5,325.1
250,10610,-51.7,-59.7,38,0.05,0,0,329.1,329.3,329.1
234,11035,-54.9,-62.9,36,0.03,0,0,330.5,330.7,330.5
214.5,11582,-58.7,,,,0,0,333,,333
200,12020,-61.7,,,,0,0,334.9,,334.9
188,12400,-64.7,,,,0,0,336,,336
167.2,13106,-68.8,,,,0,0,340.6,,340.6
165,13187,-69.3,,,,0,0,341.1,,341.1
159,13409,-66.9,,,,0,0,348.8,,348.8
153,13641,-68.5,,,,0,0,349.9,,349.9
151.1,13716,-66.5,,,,0,0,354.6,,354.6
150,13760,-65.3,,,,0,0,357.4,,357.4
148,13842,-63.5,,,,0,0,361.9,,361.9
145,13968,-62.7,,,,0,0,365.4,,365.4
136.8,14326,-63,,,,0,0,370.9,,370.9
131,14592,-63.3,,,,0,0,375.1,,375.1
129,14687,-62.7,,,,0,0,377.8,,377.8
126,14832,-63.5,,,,0,0,378.9,,378.9
122,15031,-61.5,,,,0,0,386.1,,386.1
120,15133,-61.3,,,,0,0,388.3,,388.3
118,15240,-61.7,,,,0,0,389.4,,389.4
116,15343,-62.1,,,,0,0,390.6,,390.6
108,15785,-61.5,,,,0,0,399.7,,399.7
104,16018,-62.7,,,,0,0,401.8,,401.8
100,16260,-62.3,,,,0,0,407.1,,407.1
